tmdb_id,provider_id
146198,701
8367,"81,796"
924482,"356,97"
590223,"81,796"
1251,97
25,8
224141,337
8358,97
253412,356
437586,"81,796"
512025,"81,796"
19912,"83,561,796"
10882,337
8741,337
291276,97
137116,"81,796"
19899,119
369557,97
9738,337
594,97
2251,337
33217,337
4982,"81,191,796"
10202,337
591274,"81,796"
36648,"81,796"
438590,97
13448,"81,796"
50544,"8,356,97,1796"
10330,337
1637,337
293767,"81,796"
295592,337
405774,"81,796"
705861,"81,796"
299687,"8,97,1796"
593643,337
133805,"81,796"
3132,337
140420,337
398978,"81,796"
399361,"81,796"
112336,337
563,337
4476,"81,796"
1635,"356,97"
262504,"81,796"
9342,97
227306,"81,796"
376659,"81,796"
25475,337
814338,"81,796"
6637,337
623491,"81,796"
513045,337
15590,701
10495,8
9567,"356,97"
264660,356
180,97
109443,"81,796"
76,356
1584,97
760161,"83,561,796"
1933,"81,796"
486589,"81,796"
1893,337
1690,97
11852,337
258489,97
661374,"81,796"
8456,97
2059,337
11451,337
10774,97
7345,97
515248,"81,796"
508439,337
550205,"81,796"
11007,337
460019,"83,561,796"
9361,"81,796"
62214,337
258230,"356,97"
41154,97
95,337
10837,337
134411,"356,97"
948713,"81,796"
84892,97
9286,"83,561,796"
204082,701
1892,337
96721,"356,97"
8078,337
407375,"81,796"
363088,337
693158,97
9335,337
503736,"81,796"
267935,337
10766,337
18360,337
1092,"356,97"
166424,337
10331,"356,692"
635,"356,97"
61012,356
72387,356
2649,"8,356"
426543,337
11005,97
13363,97
68735,"8,119,356,97,1796"
460465,356
754,337
2253,"97,701"
8699,"81,796"
11247,97
9358,"83,561,796"
346648,"8,356,97,1796"
91586,97
302946,97
10865,337
391713,"356,97"
244506,97
10647,97
258480,"83,561,796"
537996,"81,796"
18736,337
9475,356
256835,337
37958,97
9741,337
555285,"81,796"
235,97
2277,97
706972,8
44683,337
2502,"83,561,796"
1562,337
50321,337
591,"8,97,1796"
60307,337
2023,337
82700,97
551608,"356,97"
9982,337
6957,119
12783,"356,97"
443009,119
1045644,"81,796"
9836,97
8009,97
105965,337
862552,"356,97"
21385,337
18449,692
552178,97
75612,"8,356,97,1796"
447404,"83,561,796"
10601,97
1077280,119
13195,97
441130,350
399019,97
11918,"356,97"
479455,97
11886,337
250574,"81,796"
747188,"81,796"
36955,337
11012,"81,796"
27581,97
55779,"83,561,796"
334541,"356,97"
347375,"8,97,1796"
34544,337
419478,"8,356,97,1796"
756,337
558,"8,356,97,1796"
16119,337
283686,97
82703,8
296524,"8,97,701,1796"
2832,97
51828,"356,97"
347626,"81,796"
433498,"8,356,97,1796"
774752,337
10731,337
70006,"81,796"
334543,"356,97"
54138,"81,796"
881,97
348350,337
220289,97
395992,"8,356,97,1796"
955,"81,796"
740925,"81,796"
392,97
4523,337
654974,337
6795,97
290751,"356,97"
332210,97
753453,"356,97"
301,97
52520,"81,796"
16441,"356,97,692"
227,97
36586,"81,796"
9378,97
64635,97
3563,119
644,97
439015,"81,796"
608,97
5925,97
290595,356
68728,337
9392,356
10802,"8,356,97,1796"
1735,"119,356"
336011,"81,796"
8856,8
8077,337
474335,97
339259,"8,97"
455839,97
585216,97
2005,337
568091,"81,796"
97630,"8,97,1796"
44115,337
10735,97
718789,337
514999,"81,796"
280996,97
415842,701
88,97
205775,97
76812,"356,97"
3093,356
72570,97
630004,"8,97,1796"
369972,"356,97"
45612,"8,356,97,1796"
11358,97
14191,337
10999,337
1571,337
961323,"81,796"
583083,"81,796"
6978,337
2064,337
51162,337
13700,337
11667,356
9334,356
522478,97
70074,356
9257,97
3766,356
338762,97
547016,"81,796"
291870,356
8271,"81,796"
434555,"81,796"
41283,"81,796"
1090,"8,97"
626735,"356,97"
107985,119
27022,337
501929,"81,796"
726759,350
617653,337
302688,"8,356,97,1796"
291413,567
594328,337
49520,119
330459,337
4347,"119,356,97"
1272,337
9766,"81,796"
290250,"83,561,796"
5994,"8,356,97,1796"
9693,"356,97"
47933,337
136795,337
664280,"81,796"
491854,"356,97"
462,97
9762,97
50839,"356,97"
97020,97
9029,"337,97"
211672,97
810171,337
1491,"356,97"
11395,337
10724,"356,97"
790,356
49047,97
476299,356
458109,"356,97"
655,11
8963,337
530227,356
4327,97
9360,"8,97,1796"
8095,337
45269,"356,97"
760875,97
454,337
10022,337
568,"119,356"
254172,97
76726,337
385103,"81,796"
64682,97
322240,97
850099,"356,97"
11322,356
514921,119
460668,"8,97,1796"
18299,97
1593,337
192141,"97,701"
324668,"8,119,356,97,1796"
109414,"356,97"
483906,"81,796"
798286,"81,796"
549053,"8,356,97,1796"
765172,"81,796"
961484,356
11888,337
644092,"81,796"
317557,337
203801,"356,97"
923,"356,97"
1645,337
342470,"81,796"
10551,337
30943,"81,796"
9948,337
80274,97
37735,97
80278,"356,97"
527776,"81,796"
458576,"356,97"
334533,"8,97,1796"
782,97
8065,"81,796"
44826,97
10481,337
341013,"81,796"
450465,"337,97"
10436,97
38363,97
605116,"81,796"
440021,"8,356,97,1796"
10535,337
516329,337
8247,"337,356,97"
4421,"356,97"
164,97
1911,337
1576,356
19072,97
3558,97
59967,"356,97"
1895,337
38167,"8,97,1796"
340666,"81,796"
43593,356
7980,97
49049,356
40807,97
629176,119
335795,"81,796"
9715,97
512196,356
48844,337
11158,337
1542,337
302156,97
10644,356
505026,337
760926,"356,97"
3580,356
419479,"81,796"
134597,356
376867,97
4643,337
9354,337
10637,337
6557,337
9339,"8,97,1796"
96,8
49017,"83,561,796"
2486,337
114750,97
860159,337
388,356
11459,"337,356"
740985,119
11282,356
10760,"81,796"
9477,337
226672,97
600583,"81,796"
266856,"356,97"
23761,692
1858,97
674324,337
1572,337
82695,"8,356,97,1796"
10876,337
236751,97
567189,119
16394,337
3981,"8,356,97,1796"
19114,356
136400,701
509585,119
227973,337
552688,"81,796"
11565,337
20943,"81,796"
2288,356
544,337
1004663,356
351211,"8,356,97"
13250,"356,97"
599521,337
1844,337
2268,97
527435,"81,796"
11132,337
1375,701
615677,"81,796"
638597,"81,796"
429476,"8,97"
11893,356
398173,"81,796"
345911,97
241848,356
452832,"356,97"
378236,"8,97,1796"
532671,"356,97"
524,"81,193,561,796"
15373,119
758336,"81,796"
9480,"337,97"
14405,337
68724,"8,356,97"
546121,"8,356,97,1796"
751741,337
9889,337
739990,"81,796"
338766,"8,97"
10950,"356,97"
508763,"8,97,1796"
310119,"356,97"
10489,356
508965,"81,796"
9387,337
1381,"337,97"
732713,119
11683,356
619297,"81,796"
482321,337
76649,97
715931,350
499932,"81,796"
21407,"356,97"
25155,692
274479,"337,97"
335778,"8,97,1796"
440471,"8,97"
428449,97
15789,337
345009,701
9600,337
418078,97
390054,"81,796"
171424,356
9313,97
4547,"356,97"
384680,"97,701"
97614,701
625450,"81,796"
335788,97
12090,337
532408,337
10823,356
804,97
72710,"356,97"
400106,"81,796"
1894,337
461992,356
296360,97
505177,"356,97"
484718,119
43959,"8,97,1796"
569367,356
1656,"81,796"
9472,337
4638,356
242310,356
20662,8
10641,701
27,"356,97"
306,8
13654,337
1028248,"356,97"
492188,"81,796"
339877,97
8007,337
9595,337
804095,"81,796"
501907,97
25037,97
11172,97
758009,"81,796"
254320,356
347754,"81,796"
207932,"81,796"
339967,"356,97"
296065,356
6068,337
294963,701
560050,"81,796"
49524,356
22949,337
877183,337
565426,"81,796"
785752,8
309809,97
11778,"356,97"
379149,"356,97"
394830,701
301804,"97,701"
26466,"8,97"
587792,"81,796"
7278,337
1443,"81,796"
12184,"356,97"
38745,337
325189,337
21481,337
375588,"356,97,701"
16296,"356,97"
3034,"356,97"
13201,356
71469,"337,356"
614911,"81,796"
458897,"81,796"
9513,337
6947,337
45772,"337,97"
37725,"356,97"
178809,356
970284,"81,796"
303991,8
9476,97
491418,"81,796"
24018,"692,701"
13767,337
286567,"356,97,701"
2133,97
19840,337
400650,337
807196,"356,97"
77887,337
10708,97
11015,356
595,97
556694,"8,356,97,1796"
11355,337
109424,"8,97,1796"
460793,337
12162,"8,356,97,1796"
632856,350
337170,97
852096,"81,796"
37834,"337,356,97"
9560,337
13649,337
476968,"81,796"
964,692
593910,119
263109,97
345920,97
47327,"356,97"
169209,356
38940,356
431580,"8,119"
55721,"8,119"
1029578,"81,796"
3635,"8,356,97,1796"
157433,356
463272,"81,796"
805327,"81,796"
22638,97
14248,356
11676,337
823625,356
581859,"81,796"
8488,"8,97,1796"
456750,"81,796"
483980,337
603661,97
8055,356
399057,"81,796"
20048,337
722149,"81,796"
14164,337
97370,356
86834,"337,97"
187596,"356,97"
12536,337
1087040,"81,796"
1027014,"81,796"
15567,337
22727,692
111969,97
10539,337
588921,356
1966,"356,97,1796"
380,97
2182,"356,97"
419704,"8,337,356,97,1796"
778810,"356,97"
19585,337
792,97
13969,"83,371,796"
4032,97
1636,337
36419,97
22971,97
921636,"81,796"
666243,"81,796"
119283,"356,97"
811592,"83,561,796"
82693,356
60308,"8,97,1796"
15657,337
10957,337
597922,350
10726,356
10562,"356,97"
9208,337
6878,337
294793,119
10761,"8,97,1796"
1577,356
230222,97
531309,"8,97,1796"
9036,337
9710,97
500475,"81,796"
21500,356
371645,"81,796"
46705,"83,561,796"
287948,"97,701"
9905,"356,97"
407451,337
775996,"81,796"
442065,97
388399,"97,701"
768,337
62764,"356,97"
9021,337
534039,"356,97,701"
82654,356
631143,356
866,97
7551,337
22327,356
567,97
6171,356
58431,"356,97"
9904,337
59436,"356,97"
86337,692
9833,97
10885,337
7304,356
587,97
244761,"356,97"
3131,356
11887,337
698948,119
387592,97
10479,"356,701"
853354,"81,796"
840882,"81,796"
12154,337
560044,"81,796"
458423,"119,356,97"
458723,356
256092,97
246403,"356,97"
286654,"356,97"
11372,"356,97"
10317,97
12771,"356,97"
37247,"8,356,97,1796"
14784,"356,97"
878361,"81,796"
355338,337
49517,97
302150,"356,97,701"
617,356
9884,356
17941,"81,796"
9798,337
181283,"356,701"
31011,356
9064,356
35685,97
15487,337
615177,"81,796"
77950,"81,191,796"
509635,97
851,"356,97"
4858,97
238713,337
457710,356
556574,337
18032,97
38321,97
151960,337
664341,"81,796"
3021,356
1904,97
645886,"81,796"
2280,337
34560,337
376290,"8,97,1796"
614409,"81,796"
741074,337
181886,"356,97"
11835,356
179826,"356,97"
870518,"81,796"
522924,337
254473,97
